"Step","a3c_Qbert_runseed=0 - training/episode/reward","a3c_Qbert_runseed=0 - training/episode/reward__MIN","a3c_Qbert_runseed=0 - training/episode/reward__MAX"
"444160","300","300","300"
"444320","225","225","225"
"445376","200","200","200"
"445536","225","225","225"
"445856","200","200","200"
"446688","375","375","375"
"448128","150","150","150"
"448320","175","175","175"
"449312","350","350","350"
"454016","450","450","450"
"454432","275","275","275"
"454656","50","50","50"
"454720","175","175","175"
"454976","400","400","400"
"455648","275","275","275"
"455680","275","275","275"
"456064","225","225","225"
"456288","200","200","200"
"457376","150","150","150"
"458208","300","300","300"
"459328","200","200","200"
"460096","1000","1000","1000"
"460672","175","175","175"
"460896","125","125","125"
"460928","300","300","300"
"462432","400","400","400"
"464448","200","200","200"
"466176","125","125","125"
"466368","200","200","200"
"467296","800","800","800"
"467712","275","275","275"
"467872","375","375","375"
"468480","200","200","200"
"469152","175","175","175"
"469824","350","350","350"
"471072","250","250","250"
"471360","150","150","150"
"471520","300","300","300"
"473664","50","50","50"
"476064","200","200","200"
"476128","225","225","225"
"476608","150","150","150"
"477088","125","125","125"
"477344","100","100","100"
"477504","200","200","200"
"478208","0","0","0"
"478432","250","250","250"
"480064","300","300","300"
"480544","250","250","250"
"480640","225","225","225"
"481952","25","25","25"
"482016","275","275","275"
"482688","325","325","325"
"482848","300","300","300"
"483232","300","300","300"
"485888","775","775","775"
"487840","175","175","175"
"488736","200","200","200"
"488896","275","275","275"
"489824","350","350","350"
"490880","200","200","200"
"492032","325","325","325"
"492256","200","200","200"
"492576","225","225","225"
"492928","250","250","250"
"493088","225","225","225"
"493120","175","175","175"
"493376","150","150","150"
"494112","250","250","250"
"495264","225","225","225"
"495296","200","200","200"
"496064","650","650","650"
"496160","325","325","325"
"496384","250","250","250"
"498784","475","475","475"
"498944","150","150","150"
"499360","350","350","350"
"499424","150","150","150"
"501024","550","550","550"
"501216","375","375","375"
"501760","75","75","75"
"502528","200","200","200"
"504128","225","225","225"
"505056","300","300","300"
"505440","175","175","175"
"506336","600","600","600"
"506592","425","425","425"
"507232","300","300","300"
"508512","100","100","100"
"509856","250","250","250"
"512064","375","375","375"
"512736","175","175","175"
"513408","350","350","350"
"513472","300","300","300"
"513920","300","300","300"
"514304","275","275","275"
"515008","425","425","425"
"515680","250","250","250"
"516320","325","325","325"
"516992","175","175","175"
"517088","225","225","225"
"517760","300","300","300"
"518496","175","175","175"
"518752","375","375","375"
"521824","325","325","325"
"521920","300","300","300"
"522144","150","150","150"
"522304","300","300","300"
"522528","250","250","250"
"523264","125","125","125"
"523456","450","450","450"
"523552","150","150","150"
"523616","0","0","0"
"524416","300","300","300"
"524992","275","275","275"
"525696","50","50","50"
"525792","125","125","125"
"528064","175","175","175"
"528896","125","125","125"
"529856","400","400","400"
"530080","375","375","375"
"530112","300","300","300"
"530816","650","650","650"
"533216","200","200","200"
"533376","200","200","200"
"533408","125","125","125"
"533888","275","275","275"
"534688","225","225","225"
"536032","425","425","425"
"536384","325","325","325"
"536864","200","200","200"
"537152","350","350","350"
"537408","250","250","250"
"538624","325","325","325"
"540832","275","275","275"
"541856","150","150","150"
"542432","600","600","600"
"542784","275","275","275"
"543904","325","325","325"
"544992","675","675","675"
"545216","225","225","225"
"545696","250","250","250"
"545952","250","250","250"
"546496","300","300","300"
"546688","225","225","225"
"547040","250","250","250"
"548960","275","275","275"
"549248","300","300","300"
"551424","175","175","175"
"551968","275","275","275"
"552544","375","375","375"
"552832","175","175","175"
"553152","200","200","200"
"553952","225","225","225"
"554496","625","625","625"
"556096","225","225","225"
"556512","675","675","675"
"556736","525","525","525"
"557248","200","200","200"
"560320","275","275","275"
"560608","225","225","225"
"561856","325","325","325"
"563168","300","300","300"
"563360","225","225","225"
"563552","375","375","375"
"564160","275","275","275"
"564640","175","175","175"
"565312","150","150","150"
"565440","250","250","250"
"566880","300","300","300"
"567424","200","200","200"
"567456","400","400","400"
"567520","75","75","75"
"567744","200","200","200"
"567872","225","225","225"
"568032","275","275","275"
"570656","325","325","325"
"570880","275","275","275"
"571104","50","50","50"
"573216","275","275","275"
"574048","600","600","600"
