"Step","a3c_Kangaroo_runseed=0 - training/episode/reward","a3c_Kangaroo_runseed=0 - training/episode/reward__MIN","a3c_Kangaroo_runseed=0 - training/episode/reward__MAX"
"491328","0","0","0"
"491936","0","0","0"
"492480","0","0","0"
"492704","200","200","200"
"493056","0","0","0"
"493440","0","0","0"
"494144","0","0","0"
"495264","0","0","0"
"495392","200","200","200"
"495520","200","200","200"
"495648","200","200","200"
"496512","0","0","0"
"496576","200","200","200"
"496608","0","0","0"
"496704","0","0","0"
"498784","200","200","200"
"499904","0","0","0"
"500960","0","0","0"
"501536","0","0","0"
"501728","0","0","0"
"501824","0","0","0"
"501984","0","0","0"
"502336","0","0","0"
"502528","0","0","0"
"503872","400","400","400"
"505120","0","0","0"
"505760","0","0","0"
"505856","0","0","0"
"506688","0","0","0"
"507200","0","0","0"
"508960","0","0","0"
"510720","0","0","0"
"510816","200","200","200"
"511264","0","0","0"
"512480","0","0","0"
"513440","0","0","0"
"513952","0","0","0"
"514112","0","0","0"
"514304","0","0","0"
"516864","0","0","0"
"517184","0","0","0"
"517248","0","0","0"
"518496","0","0","0"
"519712","0","0","0"
"520960","0","0","0"
"521280","0","0","0"
"523072","0","0","0"
"523552","200","200","200"
"523712","0","0","0"
"523936","0","0","0"
"525216","0","0","0"
"525760","0","0","0"
"525856","0","0","0"
"527328","0","0","0"
"529344","200","200","200"
"529856","0","0","0"
"531520","0","0","0"
"532384","0","0","0"
"534112","0","0","0"
"534176","0","0","0"
"535040","0","0","0"
"535136","200","200","200"
"536224","200","200","200"
"536416","0","0","0"
"536608","0","0","0"
"536768","0","0","0"
"537024","0","0","0"
"537216","0","0","0"
"539296","0","0","0"
"540736","0","0","0"
"540800","0","0","0"
"541056","0","0","0"
"541280","200","200","200"
"542400","0","0","0"
"545856","0","0","0"
"546368","0","0","0"
"546592","0","0","0"
"547392","0","0","0"
"550752","0","0","0"
"550880","200","200","200"
"551392","0","0","0"
"551680","0","0","0"
"552096","0","0","0"
"553920","0","0","0"
"554624","200","200","200"
"554656","0","0","0"
"556000","0","0","0"
"557248","200","200","200"
"557696","200","200","200"
"559520","0","0","0"
"560352","0","0","0"
"563392","0","0","0"
"563456","0","0","0"
"564416","200","200","200"
"565120","0","0","0"
"565728","0","0","0"
"566112","0","0","0"
"567232","400","400","400"
"567552","200","200","200"
"568160","0","0","0"
