"Step","FuN_Kangaroo_runseed=0 - training/episode/reward","FuN_Kangaroo_runseed=0 - training/episode/reward__MIN","FuN_Kangaroo_runseed=0 - training/episode/reward__MAX"
"536512","0","0","0"
"536640","0","0","0"
"537376","0","0","0"
"537824","200","200","200"
"537888","0","0","0"
"538304","0","0","0"
"538784","0","0","0"
"539552","0","0","0"
"540384","200","200","200"
"540672","0","0","0"
"541568","0","0","0"
"542816","0","0","0"
"543104","0","0","0"
"543488","400","400","400"
"543840","0","0","0"
"544128","0","0","0"
"545984","200","200","200"
"546720","0","0","0"
"546752","0","0","0"
"547840","0","0","0"
"548096","200","200","200"
"548608","400","400","400"
"550976","200","200","200"
"551200","0","0","0"
"551232","0","0","0"
"551456","0","0","0"
"551520","0","0","0"
"551584","0","0","0"
"551616","0","0","0"
"552128","600","600","600"
"552672","0","0","0"
"552832","0","0","0"
"553216","0","0","0"
"554432","400","400","400"
"554720","0","0","0"
"555520","200","200","200"
"556608","0","0","0"
"557120","0","0","0"
"557280","200","200","200"
"559680","400","400","400"
"560256","200","200","200"
"564128","200","200","200"
"564192","0","0","0"
"564448","0","0","0"
"564736","0","0","0"
"565152","0","0","0"
"565472","0","0","0"
"565984","0","0","0"
"566080","0","0","0"
"566240","0","0","0"
"566272","200","200","200"
"567520","0","0","0"
"567552","0","0","0"
"567840","0","0","0"
"568096","200","200","200"
"568928","0","0","0"
"569312","0","0","0"
"569792","200","200","200"
"570368","400","400","400"
"570784","0","0","0"
"571168","0","0","0"
"571904","0","0","0"
"572160","0","0","0"
"572352","400","400","400"
"572992","0","0","0"
"573696","0","0","0"
"575104","0","0","0"
"575328","200","200","200"
"576384","200","200","200"
"576480","0","0","0"
"577760","0","0","0"
"578368","0","0","0"
"578656","0","0","0"
"579008","0","0","0"
"579648","0","0","0"
"580832","0","0","0"
"581984","400","400","400"
"582144","0","0","0"
"582816","0","0","0"
"583488","0","0","0"
"583808","200","200","200"
"584960","0","0","0"
"586016","200","200","200"
"586240","0","0","0"
"587776","0","0","0"
"589152","0","0","0"
"589344","0","0","0"
"590336","0","0","0"
"591264","0","0","0"
"591296","200","200","200"
"592992","0","0","0"
"593120","0","0","0"
"593280","0","0","0"
"593984","0","0","0"
"595296","0","0","0"
"596320","0","0","0"
"596672","400","400","400"
"596896","0","0","0"
"598464","0","0","0"
"599584","200","200","200"
"601024","400","400","400"
"601120","0","0","0"
"602176","200","200","200"
"602368","0","0","0"
"602400","600","600","600"
"602496","0","0","0"
"602976","200","200","200"
"603168","0","0","0"
"603456","200","200","200"
"603488","200","200","200"
"604928","0","0","0"
"605152","200","200","200"
"605632","0","0","0"
"605952","0","0","0"
"606400","200","200","200"
"607744","200","200","200"
"608096","0","0","0"
"608512","400","400","400"
"608992","0","0","0"
"609568","0","0","0"
"609760","0","0","0"
"610208","0","0","0"
"611296","0","0","0"
"611392","0","0","0"
"612800","0","0","0"
"613312","0","0","0"
"613504","600","600","600"
"613760","0","0","0"
"615936","200","200","200"
"616384","200","200","200"
"618752","200","200","200"
"619552","0","0","0"
"619776","200","200","200"
"620672","200","200","200"
"620992","0","0","0"
"621056","200","200","200"
"621568","0","0","0"
"621600","0","0","0"
"622080","200","200","200"
"622592","0","0","0"
"622720","200","200","200"
"623264","0","0","0"
"623584","0","0","0"
"624352","0","0","0"
"625344","0","0","0"
"625632","400","400","400"
"626368","200","200","200"
"626496","0","0","0"
"628864","0","0","0"
"629504","0","0","0"
"629728","400","400","400"
"630176","0","0","0"
"630880","200","200","200"
"631264","0","0","0"
"631552","0","0","0"
"633120","0","0","0"
"633312","0","0","0"
"633856","400","400","400"
"635264","0","0","0"
"635712","200","200","200"
"635936","0","0","0"
"635968","0","0","0"
"637280","400","400","400"
"637760","200","200","200"
"638976","0","0","0"
"639712","0","0","0"
"640000","0","0","0"
"640576","0","0","0"
"641056","0","0","0"
"641664","0","0","0"
"643104","0","0","0"
"643488","0","0","0"
"643680","200","200","200"
"644064","0","0","0"
"645024","0","0","0"
"646624","0","0","0"
"646944","0","0","0"
"647104","0","0","0"
"647584","0","0","0"
"648704","400","400","400"
"648832","0","0","0"
"649472","0","0","0"
"650560","200","200","200"
"650592","0","0","0"
"652480","0","0","0"
"652672","0","0","0"
"652864","200","200","200"
"653888","400","400","400"
"655072","200","200","200"
"655808","0","0","0"
"656928","400","400","400"
"657152","200","200","200"
"657568","200","200","200"
"657632","0","0","0"
"657824","0","0","0"
"658944","200","200","200"
"659680","0","0","0"
"660480","0","0","0"
"660704","0","0","0"
"662016","200","200","200"
"662368","0","0","0"
"663104","0","0","0"
"663232","0","0","0"
"665600","400","400","400"
"665728","0","0","0"
"666016","0","0","0"
"666080","600","600","600"
"666304","0","0","0"
"668064","200","200","200"
"668192","200","200","200"
"668384","0","0","0"
"669632","0","0","0"
"670144","200","200","200"
"670624","0","0","0"
"670784","0","0","0"
"672000","0","0","0"
"673216","600","600","600"
"674176","0","0","0"
"674432","0","0","0"
"675328","200","200","200"
"675360","0","0","0"
"675520","0","0","0"
"676032","0","0","0"
"676288","400","400","400"
"676704","0","0","0"
"677280","0","0","0"
"682400","200","200","200"
"682432","200","200","200"
"682720","400","400","400"
"683424","200","200","200"
"683584","0","0","0"
"683808","400","400","400"
"684608","0","0","0"
"685184","200","200","200"
"686240","0","0","0"
"687232","0","0","0"
"688352","200","200","200"
"688672","200","200","200"
"689344","0","0","0"
"689728","200","200","200"
"689952","200","200","200"
"691168","200","200","200"
"693216","400","400","400"
"695008","0","0","0"
"695456","0","0","0"
"696768","400","400","400"
"697152","600","600","600"
"697248","0","0","0"
"697376","200","200","200"
"697664","0","0","0"
"698272","200","200","200"
"698528","200","200","200"
"699328","0","0","0"
"699968","0","0","0"
"700576","0","0","0"
"700864","400","400","400"
"700928","200","200","200"
"703680","0","0","0"
"704960","0","0","0"
"706240","0","0","0"
"706784","0","0","0"
"707008","400","400","400"
"707392","0","0","0"
"708256","400","400","400"
"708832","0","0","0"
"709952","0","0","0"
"710144","0","0","0"
"710432","200","200","200"
"710656","200","200","200"
"710848","200","200","200"
"711712","0","0","0"
"711808","0","0","0"
"712768","200","200","200"
"713440","0","0","0"
"713632","200","200","200"
"713728","0","0","0"
"713856","0","0","0"
"713920","200","200","200"
"714112","0","0","0"
"715616","400","400","400"
"715872","0","0","0"
"716544","400","400","400"
"716928","200","200","200"
"717600","200","200","200"
"717760","0","0","0"
"718816","0","0","0"
"719264","200","200","200"
"719424","0","0","0"
"719552","0","0","0"
"720864","0","0","0"
"721056","0","0","0"
"721952","0","0","0"
"722528","200","200","200"
"723200","200","200","200"
"724000","400","400","400"
"724416","0","0","0"
"724960","200","200","200"
"725536","0","0","0"
"725856","0","0","0"
"727072","0","0","0"
"727168","200","200","200"
"728576","0","0","0"
"729536","400","400","400"
"730304","0","0","0"
"731584","0","0","0"
"732512","0","0","0"
"732832","0","0","0"
"734720","200","200","200"
"735776","0","0","0"
"735808","0","0","0"
"736992","0","0","0"
"737344","0","0","0"
"737824","0","0","0"
"738080","0","0","0"
"738240","0","0","0"
"738272","400","400","400"
"738720","200","200","200"
"741408","0","0","0"
"741472","200","200","200"
"742464","200","200","200"
"743104","0","0","0"
"743360","0","0","0"
"743520","0","0","0"
"744992","200","200","200"
"745376","0","0","0"
"746560","200","200","200"
"747840","0","0","0"
"747872","0","0","0"
"748512","0","0","0"
"749440","0","0","0"
"749504","0","0","0"
"750816","200","200","200"
"751040","0","0","0"
"752160","0","0","0"
"754304","0","0","0"
"754464","0","0","0"
"754752","200","200","200"
"755104","0","0","0"
"755264","0","0","0"
"755552","0","0","0"
"755584","200","200","200"
"755616","0","0","0"
"756032","0","0","0"
"756896","0","0","0"
"758272","0","0","0"
"759168","0","0","0"
"760160","0","0","0"
"760736","0","0","0"
"761952","0","0","0"
"762304","200","200","200"
"763072","0","0","0"
"763456","0","0","0"
"764896","0","0","0"
"765120","400","400","400"
"765312","0","0","0"
"765344","0","0","0"
"766560","0","0","0"
"767456","0","0","0"
"768928","0","0","0"
"769344","0","0","0"
"770336","0","0","0"
"770592","200","200","200"
"770624","0","0","0"
"771744","400","400","400"
"771776","200","200","200"
"772704","0","0","0"
"773024","200","200","200"
"774048","400","400","400"
"774368","0","0","0"
"776864","0","0","0"
"777216","200","200","200"
"777536","0","0","0"
"778112","200","200","200"
"779200","400","400","400"
"780704","0","0","0"
"780832","200","200","200"
"780928","200","200","200"
"781056","0","0","0"
"781216","0","0","0"
"781824","0","0","0"
"782368","400","400","400"
"782688","0","0","0"
"783424","0","0","0"
"783488","0","0","0"
"783904","0","0","0"
"783968","200","200","200"
"784096","200","200","200"
"784608","200","200","200"
"785184","200","200","200"
"785248","0","0","0"
"785472","0","0","0"
"785600","0","0","0"
"785632","0","0","0"
"785728","200","200","200"
"787968","200","200","200"
"788320","0","0","0"
"788352","0","0","0"
"788928","0","0","0"
"789504","0","0","0"
"790464","0","0","0"
"791008","0","0","0"
"791136","200","200","200"
"791488","0","0","0"
"791808","0","0","0"
"791936","200","200","200"
"792000","0","0","0"
"792544","200","200","200"
"793088","0","0","0"
"793280","0","0","0"
"793792","0","0","0"
"794080","0","0","0"
"795808","0","0","0"
"796480","200","200","200"
"796672","0","0","0"
"798368","400","400","400"
"799008","400","400","400"
"799776","0","0","0"
"800224","200","200","200"
"800608","0","0","0"
"800928","400","400","400"
"803040","200","200","200"
"803136","0","0","0"
"804160","0","0","0"
