"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"2009088","0.994140625","0.994140625","0.994140625","","","","","",""
"2009536","","","","","","","1","1","1"
"2009568","","","","0.1796875","0.1796875","0.1796875","","",""
"2022176","","","","0.162109375","0.162109375","0.162109375","","",""
"2022272","","","","","","","1","1","1"
"2022304","1","1","1","","","","","",""
"2034880","","","","0.185546875","0.185546875","0.185546875","","",""
"2035040","1","1","1","","","","","",""
"2035104","","","","","","","1","1","1"
"2047616","","","","","","","1","1","1"
"2047872","1","1","1","","","","","",""
"2047904","","","","0.19921875","0.19921875","0.19921875","","",""
"2059392","","","","0.166015625","0.166015625","0.166015625","","",""
"2060608","0.994140625","0.994140625","0.994140625","","","","","",""
"2060768","","","","","","","1","1","1"
"2073280","1","1","1","0.1328125","0.1328125","0.1328125","","",""
"2073376","","","","","","","1","1","1"
"2085920","","","","0.130859375","0.130859375","0.130859375","","",""
"2086016","1","1","1","","","","","",""
"2086240","","","","","","","0.994140625","0.994140625","0.994140625"
"2096288","","","","0.125","0.125","0.125","","",""
"2097664","","","","","","","0.978515625","0.978515625","0.978515625"
"2098208","0.994140625","0.994140625","0.994140625","","","","","",""
"2110752","","","","0.125","0.125","0.125","","",""
"2111488","","","","","","","0.98046875","0.98046875","0.98046875"
"2111744","1","1","1","","","","","",""
"2124224","","","","0.125","0.125","0.125","","",""
"2124384","1","1","1","","","","","",""
"2124768","","","","","","","0.994140625","0.994140625","0.994140625"
"2137184","1","1","1","","","","","",""
"2137344","","","","","","","0.994140625","0.994140625","0.994140625"
"2137472","","","","0.130859375","0.130859375","0.130859375","","",""
"2149120","1","1","1","","","","","",""
"2149888","","","","0.130859375","0.130859375","0.130859375","","",""
