"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"1190272","","","","0.017578125","0.017578125","0.017578125","","",""
"1202528","","","","","","","0","0","0"
"1202848","0","0","0","","","","","",""
"1202880","","","","0.017578125","0.017578125","0.017578125","","",""
"1215680","0","0","0","0","0","0","","",""
"1215904","","","","","","","0","0","0"
"1227776","0","0","0","","","","","",""
"1228768","","","","0","0","0","0","0","0"
"1241248","0","0","0","","","","","",""
"1241504","","","","0.013671875","0.013671875","0.013671875","","",""
"1241536","","","","","","","0","0","0"
"1253920","","","","0.00390625","0.00390625","0.00390625","","",""
"1253952","","","","","","","0","0","0"
"1254240","0","0","0","","","","","",""
"1266144","","","","","","","0","0","0"
"1267040","0","0","0","0","0","0","","",""
"1279584","0","0","0","","","","","",""
"1279840","","","","0","0","0","","",""
"1279936","","","","","","","0","0","0"
"1292256","","","","","","","0","0","0"
"1292288","","","","0","0","0","","",""
"1292768","0","0","0","","","","","",""
"1304960","","","","0","0","0","","",""
"1305408","","","","","","","0","0","0"
"1305568","0","0","0","","","","","",""
"1317984","","","","0","0","0","","",""
"1318368","0","0","0","","","","0","0","0"
"1330784","","","","0","0","0","","",""
"1331040","0","0","0","","","","","",""
"1331168","","","","","","","0","0","0"
"1343808","","","","0","0","0","","",""
"1343936","","","","","","","0","0","0"
"1343968","0","0","0","","","","","",""
"1356096","0","0","0","","","","","",""
"1356704","","","","0","0","0","","",""
"1356736","","","","","","","0","0","0"
"1368960","0","0","0","","","","","",""
"1369440","","","","","","","0","0","0"
"1369504","","","","0","0","0","","",""
"1381728","","","","0","0","0","","",""
"1381888","0","0","0","","","","","",""
"1382176","","","","","","","0","0","0"
"1394336","","","","0","0","0","","",""
"1394688","","","","","","","0","0","0"
"1395040","0","0","0","","","","","",""
"1407392","","","","0.01171875","0.01171875","0.01171875","","",""
"1407616","","","","","","","0","0","0"
"1407744","0","0","0","","","","","",""
"1418624","0","0","0","","","","","",""
"1419360","","","","","","","0","0","0"
"1420736","","","","0.005859375","0.005859375","0.005859375","","",""
"1432416","0","0","0","","","","","",""
"1432480","","","","","","","0","0","0"
"1433568","","","","0","0","0","","",""
"1446080","","","","","","","0","0","0"
"1446240","0","0","0","","","","","",""
"1446304","","","","0","0","0","","",""
"1458752","0","0","0","","","","","",""
"1458880","","","","0","0","0","","",""
"1459104","","","","","","","0","0","0"
"1471584","0","0","0","","","","","",""
"1471744","","","","0","0","0","","",""
"1471872","","","","","","","0","0","0"
"1484032","","","","","","","0","0","0"
"1484704","","","","0.01171875","0.01171875","0.01171875","","",""
"1484768","0","0","0","","","","","",""
"1496992","","","","","","","0","0","0"
"1497248","","","","0","0","0","","",""
"1497344","0","0","0","","","","","",""
"1509632","","","","","","","0","0","0"
"1510176","","","","0","0","0","","",""
"1510208","0","0","0","","","","","",""
"1522368","","","","0","0","0","","",""
"1522624","0","0","0","","","","","",""
"1522688","","","","","","","0","0","0"
"1535040","","","","0.005859375","0.005859375","0.005859375","","",""
"1535648","","","","","","","0","0","0"
