"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"632576","230","230","230"
"635936","220","220","220"
"636736","160","160","160"
"638144","150","150","150"
"638592","130","130","130"
"640000","220","220","220"
"641632","160","160","160"
"642080","260","260","260"
"645632","130","130","130"
"646944","230","230","230"
"647264","160","160","160"
"647296","100","100","100"
"648448","200","200","200"
"648608","150","150","150"
"649312","220","220","220"
"649632","220","220","220"
"650080","190","190","190"
"650528","220","220","220"
"650816","220","220","220"
"651296","150","150","150"
"651520","160","160","160"
"651776","190","190","190"
"652544","150","150","150"
"653344","200","200","200"
"656256","130","130","130"
"656960","220","220","220"
"658304","190","190","190"
"660736","250","250","250"
"661568","220","220","220"
"662592","260","260","260"
"663776","200","200","200"
"664064","150","150","150"
"664672","200","200","200"
"664992","190","190","190"
"666528","220","220","220"
"666944","220","220","220"
"668576","220","220","220"
"668928","210","210","210"
"671520","200","200","200"
"673824","220","220","220"
"674784","230","230","230"
"676224","220","220","220"
"676288","200","200","200"
"676672","250","250","250"
"677536","220","220","220"
"678560","240","240","240"
"678592","170","170","170"
"680544","220","220","220"
"680608","210","210","210"
"682176","210","210","210"
"682880","260","260","260"
"683104","190","190","190"
"684064","150","150","150"
"685568","260","260","260"
"687552","140","140","140"
"687584","210","210","210"
"688256","150","150","150"
"688608","170","170","170"
"689056","180","180","180"
"689600","250","250","250"
"690304","190","190","190"
"690528","180","180","180"
"690912","170","170","170"
"691168","170","170","170"
"692192","190","190","190"
"692736","190","190","190"
"692896","210","210","210"
"693312","150","150","150"
"693504","200","200","200"
"695616","200","200","200"
"695776","190","190","190"
"696768","190","190","190"
"697696","230","230","230"
"700160","190","190","190"
"700480","190","190","190"
"700896","180","180","180"
"702048","250","250","250"
"702112","180","180","180"
"702400","230","230","230"
"703424","240","240","240"
"703808","220","220","220"
"704544","150","150","150"
"704896","200","200","200"
"705152","220","220","220"
"705248","220","220","220"
"705376","170","170","170"
"707200","210","210","210"
"708576","240","240","240"
"710368","180","180","180"
"710720","220","220","220"
"711040","200","200","200"
"712928","180","180","180"
"713536","160","160","160"
"714336","180","180","180"
"715200","80","80","80"
"716128","200","200","200"
"717792","190","190","190"
"718272","230","230","230"
"718816","230","230","230"
"720224","210","210","210"
"720320","220","220","220"
"720640","200","200","200"
"720832","130","130","130"
"722144","220","220","220"
"723136","220","220","220"
"723680","180","180","180"
"724064","180","180","180"
"724672","250","250","250"
"726432","240","240","240"
"729952","70","70","70"
"730272","200","200","200"
"730432","240","240","240"
