"Step","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4__MAX"
"2252096","","","","","","","1","1","1"
"2252768","","","","1","1","1","","",""
"2264192","","","","0.994140625","0.994140625","0.994140625","","",""
"2264384","0","0","0","","","","","",""
"2264576","","","","","","","1","1","1"
"2277152","0","0","0","","","","","",""
"2278048","","","","1","1","1","","",""
"2278304","","","","","","","1","1","1"
"2290208","0","0","0","","","","","",""
"2290784","","","","","","","1","1","1"
"2291168","","","","1","1","1","","",""
"2303392","","","","1","1","1","","",""
"2303808","0","0","0","","","","","",""
"2303872","","","","","","","1","1","1"
"2316384","0","0","0","","","","","",""
"2316512","","","","1","1","1","","",""
"2316544","","","","","","","1","1","1"
"2329248","","","","","","","1","1","1"
"2329376","","","","1","1","1","","",""
"2329504","0","0","0","","","","","",""
"2341312","","","","","","","1","1","1"
"2341568","","","","0.994140625","0.994140625","0.994140625","","",""
"2341760","0","0","0","","","","","",""
"2353120","","","","1","1","1","","",""
"2354720","","","","","","","1","1","1"
"2355104","0","0","0","","","","","",""
"2367744","0","0","0","","","","","",""
"2367808","","","","1","1","1","","",""
"2367968","","","","","","","1","1","1"
"2380160","","","","1","1","1","","",""
"2380416","0","0","0","","","","","",""
"2380608","","","","","","","1","1","1"
"2393344","0","0","0","","","","","",""
"2393536","","","","1","1","1","","",""
"2393568","","","","","","","1","1","1"
"2405440","0","0","0","","","","","",""
"2406048","","","","","","","1","1","1"
"2406112","","","","1","1","1","","",""
"2418464","","","","1","1","1","","",""
"2418592","0","0","0","","","","","",""
"2419040","","","","","","","1","1","1"
"2430912","","","","","","","1","1","1"
"2431424","","","","0.98828125","0.98828125","0.98828125","","",""
"2431616","0","0","0","","","","","",""
"2443936","0","0","0","","","","","",""
"2444608","","","","1","1","1","","",""
"2444704","","","","","","","1","1","1"
"2454368","0","0","0","","","","","",""
"2456576","","","","1","1","1","","",""
"2457440","","","","","","","1","1","1"
"2469312","0","0","0","","","","","",""
"2469632","","","","","","","1","1","1"
"2470304","","","","1","1","1","","",""
"2482816","0","0","0","","","","","",""
"2482912","","","","","","","1","1","1"
"2483168","","","","1","1","1","","",""
"2494848","","","","1","1","1","","",""
"2495040","0","0","0","","","","","",""
"2495424","","","","","","","1","1","1"
"2508352","","","","","","","1","1","1"
"2508544","0","0","0","","","","","",""
"2508576","","","","0.994140625","0.994140625","0.994140625","","",""
"2520832","","","","0.99609375","0.99609375","0.99609375","","",""
"2521440","0","0","0","","","","","",""
"2521536","","","","","","","1","1","1"
"2533824","","","","","","","1","1","1"
"2533856","0","0","0","","","","","",""
"2534272","","","","0.998046875","0.998046875","0.998046875","","",""
"2545600","0","0","0","","","","","",""
"2546528","","","","","","","1","1","1"
"2547136","","","","1","1","1","","",""
"2557952","0","0","0","","","","","",""
"2559200","","","","","","","1","1","1"
"2559424","","","","1","1","1","","",""
"2571360","","","","","","","1","1","1"
"2572352","0","0","0","","","","","",""
"2572736","","","","1","1","1","","",""
"2584544","","","","1","1","1","","",""
"2585088","","","","","","","1","1","1"
"2585312","0","0","0","","","","","",""
"2597504","0","0","0","","","","","",""
"2597952","","","","1","1","1","","",""
"2598112","","","","","","","1","1","1"
"2610336","","","","","","","1","1","1"
