"Step","a3c_Gravitar_runseed=0 - training/episode/reward","a3c_Gravitar_runseed=0 - training/episode/reward__MIN","a3c_Gravitar_runseed=0 - training/episode/reward__MAX"
"571616","100","100","100"
"572512","250","250","250"
"572896","350","350","350"
"575424","350","350","350"
"576352","250","250","250"
"576704","850","850","850"
"580224","0","0","0"
"581792","350","350","350"
"582016","0","0","0"
"582816","0","0","0"
"582944","700","700","700"
"585952","250","250","250"
"588000","250","250","250"
"589152","350","350","350"
"589344","100","100","100"
"590624","200","200","200"
"590752","0","0","0"
"591232","0","0","0"
"593120","700","700","700"
"593184","200","200","200"
"594368","0","0","0"
"594944","100","100","100"
"595488","200","200","200"
"597472","350","350","350"
"597568","100","100","100"
"598144","100","100","100"
"601888","350","350","350"
"603104","600","600","600"
"603840","350","350","350"
"604032","100","100","100"
"604064","0","0","0"
"605344","0","0","0"
"605760","700","700","700"
"608288","350","350","350"
"608512","600","600","600"
"608768","250","250","250"
"609696","350","350","350"
"610624","250","250","250"
"612096","600","600","600"
"612544","250","250","250"
"612576","0","0","0"
"614208","250","250","250"
"615104","250","250","250"
"615392","100","100","100"
"616032","100","100","100"
"616640","0","0","0"
"617856","600","600","600"
"619328","0","0","0"
"619808","0","0","0"
"620864","100","100","100"
"621376","100","100","100"
"623840","0","0","0"
"624288","700","700","700"
"628768","0","0","0"
"628992","250","250","250"
"629664","700","700","700"
"629952","0","0","0"
"629984","200","200","200"
"631200","350","350","350"
"632320","600","600","600"
"632480","350","350","350"
"634592","700","700","700"
"637088","350","350","350"
"637952","100","100","100"
"639520","100","100","100"
"640160","600","600","600"
"640192","0","0","0"
"640864","250","250","250"
"641792","0","0","0"
"642048","0","0","0"
"643264","0","0","0"
"643552","0","0","0"
"647360","0","0","0"
"649376","600","600","600"
"651040","100","100","100"
"651328","250","250","250"
"654080","600","600","600"
"654592","250","250","250"
"654816","100","100","100"
"656896","350","350","350"
"658368","350","350","350"
"658400","200","200","200"
"659072","0","0","0"
"659360","700","700","700"
"659808","350","350","350"
"660736","450","450","450"
"661248","0","0","0"
"663200","600","600","600"
"664512","700","700","700"
"667392","350","350","350"
"667488","0","0","0"
"668192","200","200","200"
"668640","600","600","600"
"668736","350","350","350"
"670240","0","0","0"
"670560","600","600","600"
"671584","200","200","200"
"672672","100","100","100"
"673600","500","500","500"
"674016","100","100","100"
"674240","0","0","0"
"674944","250","250","250"
"675424","0","0","0"
"677280","100","100","100"
"678496","1050","1050","1050"
"678720","450","450","450"
"679104","100","100","100"
"679552","800","800","800"
"681056","350","350","350"
"681248","200","200","200"
"682016","0","0","0"
"683456","450","450","450"
"684288","200","200","200"
"684352","700","700","700"
"686880","500","500","500"
"688448","0","0","0"
"689088","450","450","450"
"693728","850","850","850"
"694240","0","0","0"
"694432","0","0","0"
"694880","0","0","0"
"695232","250","250","250"
"695392","200","200","200"
"695456","0","0","0"
"695968","500","500","500"
"696384","200","200","200"
"697344","500","500","500"
"699808","100","100","100"
"700512","0","0","0"
"701056","100","100","100"
"702016","200","200","200"
"706144","550","550","550"
"708480","700","700","700"
"708992","500","500","500"
"709120","600","600","600"
"711872","250","250","250"
"712096","250","250","250"
"713696","600","600","600"
"714112","100","100","100"
"714240","500","500","500"
"714304","350","350","350"
"715232","0","0","0"
"716000","350","350","350"
"716128","0","0","0"
"716512","0","0","0"
"717728","500","500","500"
"718720","0","0","0"
"718752","0","0","0"
"719296","500","500","500"
"720800","450","450","450"
"721024","350","350","350"
"722048","0","0","0"
"722144","0","0","0"
"724192","250","250","250"
"724672","0","0","0"
"725344","250","250","250"
"726368","500","500","500"
"726400","0","0","0"
"727328","0","0","0"
"732064","0","0","0"
"732992","0","0","0"
"734240","500","500","500"
"734368","350","350","350"
"735008","450","450","450"
"735904","350","350","350"
"736288","0","0","0"
"737856","200","200","200"
"738592","600","600","600"
"738656","450","450","450"
"738976","0","0","0"
"739648","700","700","700"
"739808","350","350","350"
"740256","1050","1050","1050"
"740448","250","250","250"
"741632","0","0","0"
"743360","100","100","100"
"744192","600","600","600"
"745152","100","100","100"
"745216","0","0","0"
"746048","350","350","350"
"748416","350","350","350"
"751776","250","250","250"
"752096","350","350","350"
"752992","100","100","100"
"754208","0","0","0"
"754976","350","350","350"
"756480","250","250","250"
"757696","250","250","250"
"759264","0","0","0"
"759392","0","0","0"
"759424","250","250","250"
"759520","0","0","0"
"759744","100","100","100"
"760512","500","500","500"
"761888","450","450","450"
"762624","250","250","250"
"762752","0","0","0"
"763168","1050","1050","1050"
"763488","250","250","250"
"763904","250","250","250"
"764000","0","0","0"
"765152","100","100","100"
"765248","850","850","850"
"765952","700","700","700"
"766560","500","500","500"
"768832","0","0","0"
"769216","100","100","100"
"771232","750","750","750"
"771296","350","350","350"
"772576","700","700","700"
"772736","600","600","600"
"774432","200","200","200"
"776032","100","100","100"
"776064","0","0","0"
"776896","300","300","300"
"778944","100","100","100"
"781216","100","100","100"
"781504","350","350","350"
"781632","100","100","100"
"781824","350","350","350"
"783840","350","350","350"
"784032","450","450","450"
"784416","0","0","0"
"785088","950","950","950"
"785248","600","600","600"
"785856","700","700","700"
"785888","100","100","100"
"786368","100","100","100"
"787456","250","250","250"
"789216","0","0","0"
"790944","100","100","100"
"791040","0","0","0"
"792000","500","500","500"
"795392","550","550","550"
"798528","600","600","600"
"799104","700","700","700"
"800000","600","600","600"
"800288","0","0","0"
"800480","0","0","0"
"801664","350","350","350"
"802528","0","0","0"
"802560","0","0","0"
"803648","500","500","500"
"804544","0","0","0"
"805088","600","600","600"
"806208","100","100","100"
"806560","250","250","250"
"807872","0","0","0"
"809024","0","0","0"
"809632","600","600","600"
"812576","0","0","0"
"814720","350","350","350"
"815552","250","250","250"
"815584","250","250","250"
"818688","0","0","0"
"819072","250","250","250"
"819552","500","500","500"
"819744","600","600","600"
"820832","200","200","200"
"821696","550","550","550"
"821760","250","250","250"
"822112","0","0","0"
"823232","100","100","100"
"823904","600","600","600"
"824896","600","600","600"
"825280","600","600","600"
"826208","0","0","0"
"826944","300","300","300"
"826976","600","600","600"
"827424","600","600","600"
"827456","0","0","0"
"830400","550","550","550"
"832640","0","0","0"
"833280","0","0","0"
"834432","0","0","0"
"836352","0","0","0"
"838976","500","500","500"
"839264","100","100","100"
"839584","0","0","0"
"839680","0","0","0"
"840000","100","100","100"
"840192","0","0","0"
"843168","700","700","700"
"844128","250","250","250"
"844672","350","350","350"
"845632","500","500","500"
"846752","250","250","250"
"847040","600","600","600"
"847616","700","700","700"
"847712","700","700","700"
"847968","350","350","350"
"848160","250","250","250"
"848480","100","100","100"
"849664","600","600","600"
"852800","0","0","0"
"852832","350","350","350"
"854112","0","0","0"
"855264","350","350","350"
"857344","0","0","0"
"858464","500","500","500"
"860832","100","100","100"
"861952","100","100","100"
"863584","550","550","550"
"864384","0","0","0"
"864704","100","100","100"
"865664","600","600","600"
"866592","600","600","600"
"867488","0","0","0"
"869568","700","700","700"
"869952","450","450","450"
"873024","0","0","0"
"874496","0","0","0"
"874976","600","600","600"
"876640","0","0","0"
"876960","350","350","350"
"877024","450","450","450"
"878720","0","0","0"
"879200","100","100","100"
"879648","100","100","100"
"882464","700","700","700"
"884160","800","800","800"
"885344","350","350","350"
"885600","0","0","0"
"885760","250","250","250"
"886112","600","600","600"
"886816","350","350","350"
"887200","700","700","700"
"888448","200","200","200"
"889344","250","250","250"
"891840","250","250","250"
"893376","0","0","0"
"893824","600","600","600"
"895648","100","100","100"
"896128","0","0","0"
"897376","100","100","100"
"897824","850","850","850"
"897888","100","100","100"
"898976","700","700","700"
"900000","250","250","250"
"900096","200","200","200"
"903456","100","100","100"
"904896","0","0","0"
"905408","350","350","350"
"906048","0","0","0"
"906144","350","350","350"
"906656","100","100","100"
"907008","500","500","500"
"907328","100","100","100"
"909280","200","200","200"
"910112","550","550","550"
"913728","100","100","100"
"915520","250","250","250"
"915616","350","350","350"
"915712","0","0","0"
"917120","100","100","100"
"918016","350","350","350"
"918176","450","450","450"
"918912","100","100","100"
"924544","350","350","350"
"924928","350","350","350"
"925440","250","250","250"
"925824","600","600","600"
"926144","200","200","200"
"927520","500","500","500"
"928384","100","100","100"
"928480","450","450","450"
"928608","500","500","500"
"928928","250","250","250"
"929568","100","100","100"
"929600","600","600","600"
"931712","350","350","350"
"933888","350","350","350"
"934560","500","500","500"
"934848","450","450","450"
"935648","350","350","350"
"935744","850","850","850"
"936448","100","100","100"
"937312","250","250","250"
"937600","450","450","450"
"938176","700","700","700"
"938368","250","250","250"
"944640","100","100","100"
"944704","250","250","250"
"944928","250","250","250"
"945568","100","100","100"
"946464","700","700","700"
"947200","100","100","100"
"948448","450","450","450"
"948896","100","100","100"
"951648","250","250","250"
"951712","350","350","350"
"953408","100","100","100"
"954720","600","600","600"
"954912","0","0","0"
"955648","100","100","100"
"956192","0","0","0"
"956704","250","250","250"
"957248","250","250","250"
"958016","350","350","350"
"964224","0","0","0"
"965120","250","250","250"
"965312","0","0","0"
"965728","500","500","500"
"965824","600","600","600"
"966176","100","100","100"
"966784","0","0","0"
"967552","600","600","600"
"968768","250","250","250"
"972192","200","200","200"
"972704","600","600","600"
"974656","0","0","0"
"974688","600","600","600"
"975232","100","100","100"
"975616","250","250","250"
"976128","250","250","250"
"976800","350","350","350"
"977600","550","550","550"
"978528","200","200","200"
"981600","350","350","350"
"984480","450","450","450"
"985056","500","500","500"
"985312","0","0","0"
"985344","0","0","0"
"985536","250","250","250"
"986080","250","250","250"
"987008","600","600","600"
"988352","1100","1100","1100"
"989408","200","200","200"
"989952","200","200","200"
"990304","350","350","350"
"993536","250","250","250"
"994560","0","0","0"
"994656","700","700","700"
"994688","100","100","100"
"995488","350","350","350"
"995552","600","600","600"
"995872","0","0","0"
"996288","600","600","600"
"998752","350","350","350"
"1002656","250","250","250"
"1003072","0","0","0"
"1004864","700","700","700"
"1005376","800","800","800"
"1005952","0","0","0"
"1006624","350","350","350"
"1007584","500","500","500"
"1007936","0","0","0"
"1008544","250","250","250"
"1008928","450","450","450"
"1009408","0","0","0"
"1012000","450","450","450"
"1014496","0","0","0"
"1014912","0","0","0"
"1015488","100","100","100"
"1018048","500","500","500"
"1018208","250","250","250"
"1019104","0","0","0"
"1020000","350","350","350"
"1023264","350","350","350"
"1023520","450","450","450"
"1023840","250","250","250"
"1024096","350","350","350"
"1024672","350","350","350"
"1025120","100","100","100"
"1026720","350","350","350"
"1027040","100","100","100"
"1027072","0","0","0"
"1030112","700","700","700"
"1030272","750","750","750"
"1030656","0","0","0"
"1032320","700","700","700"
"1034816","350","350","350"
"1035008","100","100","100"
"1035264","100","100","100"
"1036480","950","950","950"
"1036544","100","100","100"
"1038336","750","750","750"
"1039648","350","350","350"
"1041120","100","100","100"
"1042912","350","350","350"
"1044224","100","100","100"
"1044800","350","350","350"
"1045312","250","250","250"
"1045504","500","500","500"
"1045728","350","350","350"
"1045888","250","250","250"
"1046048","100","100","100"
"1049984","250","250","250"
"1050432","500","500","500"
"1051488","0","0","0"
"1054720","0","0","0"
"1057088","0","0","0"
"1057536","100","100","100"
"1057728","950","950","950"
"1058592","600","600","600"
"1060480","0","0","0"
"1060672","350","350","350"
"1062304","850","850","850"
"1063744","600","600","600"
"1064928","350","350","350"
"1065088","350","350","350"
"1065504","750","750","750"
"1066752","250","250","250"
"1066816","100","100","100"
"1068608","200","200","200"
"1071136","100","100","100"
"1071904","0","0","0"
"1073600","700","700","700"
"1074624","250","250","250"
"1075360","350","350","350"
"1076512","500","500","500"
"1078560","350","350","350"
"1078848","450","450","450"
"1079296","250","250","250"
"1080448","0","0","0"
"1080672","300","300","300"
"1081120","0","0","0"
"1081312","600","600","600"
"1083520","500","500","500"
"1084160","600","600","600"
"1084288","800","800","800"
"1085536","200","200","200"
"1086144","350","350","350"
"1086784","250","250","250"
"1086976","700","700","700"
"1087808","0","0","0"
"1090880","0","0","0"
"1092000","600","600","600"
"1092512","750","750","750"
"1092768","0","0","0"
"1093440","0","0","0"
"1095904","600","600","600"
"1097248","250","250","250"
"1097440","1100","1100","1100"
"1098496","350","350","350"
"1098592","0","0","0"
"1100864","0","0","0"
"1100992","200","200","200"
"1101152","600","600","600"
"1101632","600","600","600"
"1101824","350","350","350"
"1103200","0","0","0"
"1104192","250","250","250"
"1105376","250","250","250"
"1106176","450","450","450"
"1106752","0","0","0"
"1107552","0","0","0"
"1108576","250","250","250"
"1109280","600","600","600"
"1113088","700","700","700"
"1113856","250","250","250"
"1115200","600","600","600"
"1117408","100","100","100"
"1118048","350","350","350"
"1118112","0","0","0"
"1118880","250","250","250"
"1120416","500","500","500"
"1120960","0","0","0"
"1121632","350","350","350"
"1122496","250","250","250"
"1123488","250","250","250"
"1125216","550","550","550"
"1126912","100","100","100"
"1130464","700","700","700"
"1131200","350","350","350"
"1131744","850","850","850"
"1133440","600","600","600"
"1133472","100","100","100"
"1133728","450","450","450"
"1135232","900","900","900"
"1137056","0","0","0"
"1138592","250","250","250"
"1139520","0","0","0"
"1140384","350","350","350"
"1141248","0","0","0"
"1141344","0","0","0"
"1142496","250","250","250"
"1142752","350","350","350"
"1143200","600","600","600"
"1144864","350","350","350"
"1145504","100","100","100"
"1145568","350","350","350"
"1148256","0","0","0"
"1148640","850","850","850"
"1150656","0","0","0"
"1151360","0","0","0"
"1153792","250","250","250"
"1154112","600","600","600"
"1155200","700","700","700"
"1156256","0","0","0"
"1157632","0","0","0"
"1157856","0","0","0"
"1158464","0","0","0"
"1159392","200","200","200"
"1160512","300","300","300"
"1161216","0","0","0"
"1163584","100","100","100"
"1165184","500","500","500"
"1166624","0","0","0"
"1166784","0","0","0"
"1167296","0","0","0"
"1167904","350","350","350"
"1167968","350","350","350"
"1168352","0","0","0"
"1169344","0","0","0"
"1170976","350","350","350"
"1174336","250","250","250"
"1176096","250","250","250"
"1176800","450","450","450"
"1179392","0","0","0"
"1179904","600","600","600"
"1180608","250","250","250"
"1181344","850","850","850"
"1184064","850","850","850"
"1184192","100","100","100"
"1184416","700","700","700"
"1186048","100","100","100"
"1186688","0","0","0"
"1186784","700","700","700"
"1186848","800","800","800"
"1187104","600","600","600"
"1187776","0","0","0"
"1188896","0","0","0"
"1190048","500","500","500"
"1190848","250","250","250"
"1196896","100","100","100"
