"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MAX"
"1343424","0","0","0","","","","","",""
"1343584","","","","0.9765625","0.9765625","0.9765625","","",""
"1355392","0","0","0","","","","","",""
"1355712","","","","","","","0","0","0"
"1356256","","","","0.9765625","0.9765625","0.9765625","","",""
"1368256","0.00390625","0.00390625","0.00390625","","","","","",""
"1369344","","","","0.994140625","0.994140625","0.994140625","","",""
"1369376","","","","","","","0.005859375","0.005859375","0.005859375"
"1381664","","","","1","1","1","","",""
"1381888","","","","","","","0","0","0"
"1382336","0.001953125","0.001953125","0.001953125","","","","","",""
"1394592","","","","1","1","1","","",""
"1394976","","","","","","","0","0","0"
"1395104","0.001953125","0.001953125","0.001953125","","","","","",""
"1406944","","","","1","1","1","","",""
"1407392","","","","","","","0","0","0"
"1407872","0.00390625","0.00390625","0.00390625","","","","","",""
"1419616","0.01171875","0.01171875","0.01171875","","","","","",""
"1420256","","","","","","","0","0","0"
"1420544","","","","1","1","1","","",""
"1432832","","","","","","","0","0","0"
"1433024","0","0","0","","","","","",""
"1433088","","","","1","1","1","","",""
"1445856","","","","","","","0.005859375","0.005859375","0.005859375"
"1446336","0","0","0","","","","","",""
"1446368","","","","1","1","1","","",""
"1458944","","","","","","","0","0","0"
"1458976","0","0","0","","","","","",""
"1459040","","","","1","1","1","","",""
"1471584","0","0","0","","","","","",""
"1471744","","","","1","1","1","","",""
"1471840","","","","","","","0","0","0"
"1483904","","","","1","1","1","","",""
"1484256","0","0","0","","","","","",""
"1484736","","","","","","","0","0","0"
"1497024","0","0","0","","","","","",""
"1497248","","","","","","","0","0","0"
"1497312","","","","1","1","1","","",""
"1510144","","","","0.998046875","0.998046875","0.998046875","","",""
"1510240","","","","","","","0","0","0"
"1510368","0","0","0","","","","","",""
"1522656","","","","","","","0","0","0"
"1523104","0","0","0","","","","","",""
"1523168","","","","0.990234375","0.990234375","0.990234375","","",""
"1535872","0","0","0","1","1","1","","",""
"1535904","","","","","","","0","0","0"
"1548000","0","0","0","","","","","",""
"1548640","","","","1","1","1","","",""
"1548672","","","","","","","0","0","0"
"1560864","","","","0.994140625","0.994140625","0.994140625","","",""
"1561472","","","","","","","0","0","0"
"1561504","0","0","0","","","","","",""
"1573632","0","0","0","","","","","",""
"1573856","","","","0.98828125","0.98828125","0.98828125","","",""
"1573984","","","","","","","0","0","0"
"1586848","","","","0.994140625","0.994140625","0.994140625","","",""
"1587040","0","0","0","","","","","",""
"1587072","","","","","","","0","0","0"
"1599488","","","","0.994140625","0.994140625","0.994140625","","",""
"1599616","0.005859375","0.005859375","0.005859375","","","","","",""
"1599744","","","","","","","0","0","0"
"1611616","","","","1","1","1","","",""
"1611776","0.005859375","0.005859375","0.005859375","","","","","",""
"1612480","","","","","","","0","0","0"
"1624416","0.005859375","0.005859375","0.005859375","","","","","",""
"1624992","","","","1","1","1","","",""
"1625216","","","","","","","0","0","0"
"1637728","","","","","","","0","0","0"
"1638016","","","","0.994140625","0.994140625","0.994140625","","",""
"1638080","0","0","0","","","","","",""
"1651136","0.0234375","0.0234375","0.0234375","","","","0","0","0"
"1651168","","","","1","1","1","","",""
"1663296","0.005859375","0.005859375","0.005859375","","","","","",""
"1663808","","","","0.982421875","0.982421875","0.982421875","","",""
"1663904","","","","","","","0","0","0"
